id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective;crit_score;user_score
9900;wolfenstein-youngblood;"Jul 26, 2019 - PlayStation 4; Jul 26, 2019 - Xbox One; Jul 26, 2019 - PC (Microsoft Windows); Jul 26, 2019 - Nintendo Switch; Dec 31, 2019 - Google Stadia";Bethesda Softworks;MachineGames;Arkane Studios;Shooter;Co-operative, Multiplayer, Single player;Action;;id Tech 6;Wolfenstein;First person;69;2,2
9901;wolf-of-the-battlefield-commando-3;May 04, 2008 - PlayStation 3;;;;;;;"PlayStation 3: Offline Co-op max players: 3, Online Co-op max players: 3, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ; Xbox 360: Offline Co-op max players: 3, Online Co-op max players: 3, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ";;Commando;;66;7
9902;wonderbook-book-of-spells;Nov 13, 2012 - PlayStation 3;;SCE London Studio;;;Single player;Educational;;;Wonderbook;;72;6,5
9903;wonderbook-diggs-nightcrawler;May 29, 2013 - PlayStation 3;Sony Computer Entertainment Europe;Moonbot Studios;;Adventure;Single player;Thriller;;;Wonderbook;;76;tbd
9904;wonder-world-amusement-park;"Jul 08, 2008 - Wii; Jul 08, 2008 - Nintendo DS";Coyote Console;Majesco Entertainment;;Simulator;Single player, Split screen;Party;;;;;37;4,5
9905;woody-woodpecker-racing;"Dec 01, 2000 - PlayStation; Dec 01, 2000 - Game Boy Color; Dec 01, 2000 - Dreamcast; Dec 01, 2000 - PC (Microsoft Windows)";Konami;Konami, Syrox Developments;;Adventure, Racing;Single player, Split screen;Comedy;;;Woody Woodpecker;Third person;46;tbd
9906;woolfe-the-red-hood-diaries;"Mar 17, 2015 - PC (Microsoft Windows); Dec 31, 2016 - PlayStation Network";GriN Gamestudio;GriN Gamestudio;;Adventure, Indie, Platform;Single player;Action, Fantasy;;Unreal Engine;;Third person;55;5,8
9907;wordjong;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;77;7,7
9908;word-puzzle;;;;;;;;;;;;43;tbd
9909;world-championship-poker;"Nov 03, 2004 - Game Boy Advance; Nov 18, 2004 - PlayStation 2; Nov 30, 2004 - Xbox; Apr 05, 2005 - Nintendo DS";Crave Entertainment, Oxygen Games, 505 Games;Coresoft, Point of View;;Puzzle, Simulator, Strategy, Turn-based strategy (TBS);Single player, Split screen;Action;;;World Championship Poker;;66;tbd
9910;world-championship-poker-2-featuring-howard-lederer;Jun 29, 2007 - Wii;;;;Puzzle, Simulator, Strategy, Turn-based strategy (TBS);;;;;World Championship Poker;;71;tbd
9911;world-championship-poker-deluxe-series;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;67;tbd
9912;world-championship-poker-featuring-howard-lederer-all-in;Sep 29, 2006 - Xbox 360;;;;Sport, Turn-based strategy (TBS);;;;;World Championship Poker;;53;tbd
9913;world-championship-pool-2004;"Dec 09, 2003 - Xbox; Apr 27, 2004 - PlayStation 2; Apr 30, 2004 - PC (Microsoft Windows); Mar 15, 2005 - Nintendo GameCube";Jaleco;Blade Interactive;;Sport;Multiplayer, Single player, Split screen;;;;;;67;tbd
9914;world-destruction-league-thunder-tanks;Jan 09, 2001 - Game Boy Color;;;;Strategy;;Action;;;;;65;5,5
9915;world-driver-championship;May 31, 1999 - Nintendo 64;Midway;Boss Game Studios;;Racing;Single player, Split screen;;;;;Third person;75;8,1
9916;world-end-syndrome;"Aug 30, 2018 - PlayStation Vita; Aug 30, 2018 - PlayStation 4; Aug 30, 2018 - Nintendo Switch";Arc System Works;Toybox Inc.;;Adventure, Visual Novel;Single player;;;;;;79;7,9
9917;world-gone-sour;"Dec 20, 2011 - PC (Microsoft Windows); Apr 11, 2012 - Xbox Live Arcade; Apr 11, 2012 - PlayStation Network";;;;Platform, Puzzle;Co-operative, Single player;;PC (Microsoft Windows): Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Third person;69;7,4
9918;world-heroes-anthology;Apr 11, 2008 - PlayStation 2;;;;Fighting;;;;;World Heroes;;53;tbd
9919;world-in-conflict;Sep 18, 2007 - PC (Microsoft Windows);Sierra Entertainment;Massive Entertainment;;Real Time Strategy (RTS), Strategy;Multiplayer, Single player;;;MassTech;World in Conflict;Bird view / Isometric;89;8,1
9920;world-in-conflict-soviet-assault;Mar 10, 2009 - PC (Microsoft Windows);Ubisoft Entertainment;Massive Entertainment;;Real Time Strategy (RTS), Strategy;Multiplayer, Single player;Non-fiction, Warfare;;MassTech;World in Conflict;Third person;72;8,3
9921;world-of-final-fantasy;"Oct 25, 2016 - PlayStation Vita; Oct 25, 2016 - PlayStation 4; Nov 21, 2017 - PC (Microsoft Windows)";Square Enix;Square Enix;;Adventure, Role-playing (RPG);Single player;Fantasy;;Orochi;Final Fantasy;Third person;77;7,7
9922;world-of-final-fantasy-maxima;"Nov 06, 2018 - PlayStation 4; Nov 06, 2018 - Xbox One; Nov 06, 2018 - PC (Microsoft Windows); Nov 06, 2018 - Nintendo Switch";Square Enix;Square Enix;;Adventure, Role-playing (RPG);Single player;Fantasy;;;World of Final Fantasy;Third person;81;7,8
9923;world-of-goo;"Oct 13, 2008 - WiiWare; Oct 13, 2008 - Wii; Oct 13, 2008 - PC (Microsoft Windows); Nov 02, 2008 - Mac; Feb 12, 2009 - Linux; Dec 16, 2010 - iOS; Nov 28, 2011 - Android; Mar 16, 2017 - Nintendo Switch";Brighter Minds, 2D Boy, Microsoft Studios;2D Boy;;Indie, Puzzle;Co-operative, Single player;Comedy, Sandbox;WiiWare: Offline Co-op max players: 4, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;;Side view;94;8,7
9924;world-of-outlaws-sprint-cars;"Feb 09, 2010 - Xbox 360; May 11, 2010 - PlayStation 3";THQ;Big Ant Studios;;Arcade, Racing, Sport;Multiplayer, Single player, Split screen;;;;;;83;7,2
9925;world-of-outlaws-sprint-cars-2002;;;;;Racing;;;;;;;80;8,3
9926;world-of-tanks;"Apr 12, 2011 - PC (Microsoft Windows); Feb 12, 2014 - Xbox 360; Jul 28, 2015 - Xbox One; Jan 19, 2016 - PlayStation Network; Jan 19, 2016 - PlayStation 4";;Wargaming.net, KongZhong, Wargaming Chicago-Baltimore;;Arcade, Shooter, Simulator, Strategy;Massively Multiplayer Online (MMO), Multiplayer;Action, Non-fiction, Warfare;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 30, Offline max players: 0, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;BigWorld;World of Tanks;Bird view / Isometric, First person, Third person;80;3,6
9927;world-of-tanks-xbox-360-edition;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;77;6,7
9928;world-of-van-helsing-deathtrap;Dec 30, 2016 - Xbox One;;NeoCore Games;;;Co-operative, Multiplayer;;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 4, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;;;80;6,9
9929;world-of-warcraft;"Nov 23, 2004 - Mac; Nov 23, 2004 - PC (Microsoft Windows)";Blizzard Entertainment;Blizzard Entertainment;;Adventure, Role-playing (RPG);Massively Multiplayer Online (MMO), Multiplayer;Action, Fantasy;;;Warcraft;Third person;93;7,4
9930;world-of-warcraft-battle-for-azeroth;Aug 14, 2018 - PC (Microsoft Windows);Blizzard Entertainment;Blizzard Entertainment;;Role-playing (RPG);Massively Multiplayer Online (MMO);;;;Warcraft;Third person;79;3
9931;world-of-warcraft-cataclysm;"Dec 07, 2010 - Mac; Dec 07, 2010 - PC (Microsoft Windows)";Activision Blizzard;Blizzard Entertainment;;Role-playing (RPG);Massively Multiplayer Online (MMO);Fantasy;;;Warcraft;Third person;90;5,7
9932;world-of-warcraft-classic;Aug 27, 2019 - PC (Microsoft Windows);Blizzard Entertainment;Blizzard Entertainment;;Adventure, Role-playing (RPG);Massively Multiplayer Online (MMO);Action, Fantasy;;;Warcraft;Third person;81;6,2
9933;world-of-warcraft-legion;"Aug 30, 2016 - Mac; Aug 30, 2016 - PC (Microsoft Windows)";Blizzard Entertainment;Blizzard Entertainment;;Adventure, Role-playing (RPG);Massively Multiplayer Online (MMO);Fantasy;;;Warcraft;Third person;88;7,3
9934;world-of-warcraft-mists-of-pandaria;Sep 25, 2012 - PC (Microsoft Windows);Blizzard Entertainment;Blizzard Entertainment;;Adventure, Role-playing (RPG);Massively Multiplayer Online (MMO);Fantasy, Open world;;;Warcraft;Third person;82;5,1
9935;world-of-warcraft-the-burning-crusade;"Jan 15, 2007 - PC (Microsoft Windows); Jan 16, 2007 - Mac";Blizzard Entertainment;Blizzard Entertainment;;Role-playing (RPG);Massively Multiplayer Online (MMO);Fantasy;;;Warcraft;Third person;91;8,1
9936;world-of-warcraft-warlords-of-draenor;"Nov 13, 2014 - Mac; Nov 13, 2014 - PC (Microsoft Windows)";Blizzard Entertainment;Blizzard Entertainment;;Adventure, Role-playing (RPG), Strategy;Massively Multiplayer Online (MMO);Action, Fantasy, Open world;;;Warcraft;Bird view / Isometric, First person, Side view, Third person;87;5,8
9937;world-of-warcraft-wrath-of-the-lich-king;"Nov 13, 2008 - Mac; Nov 13, 2008 - PC (Microsoft Windows)";Blizzard Entertainment;Blizzard Entertainment;;Role-playing (RPG);Massively Multiplayer Online (MMO);Fantasy;;;Warcraft;Third person;91;7,8
9938;world-of-warplanes;Nov 12, 2013 - PC (Microsoft Windows);Wargaming.net;Persha Studia, Wargaming.net;;Arcade, Shooter, Simulator;Co-operative, Massively Multiplayer Online (MMO), Multiplayer;Action, Historical, Warfare;;;;First person, Third person;69;5,3
9939;world-of-warriors;;;;;;;Action;;;;;61;3,2
9940;world-of-warships;Sep 17, 2015 - PC (Microsoft Windows);Wargaming.net;Lesta Studio, Wargaming.net;;Real Time Strategy (RTS), Shooter, Simulator, Tactical;Co-operative, Massively Multiplayer Online (MMO), Multiplayer;Action, Historical, Warfare;PC (Microsoft Windows): Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out  yes;BigWorld;;Bird view / Isometric, First person, Side view, Third person;81;6,5
9941;world-poker-tour;;;;;;;;;;;;68;tbd
9942;world-racing;;;;;;;;;;;;56;8,3
9943;world-racing-2;Oct 29, 2006 - PC (Microsoft Windows);;;;Racing;;;;;World Racing;;68;7,4
9944;world-rally-championship;Mar 14, 2001 - PlayStation 2;Sony Computer Entertainment, Inc. (SCEI);Evolution Studios;;Racing, Sport;Multiplayer, Single player;;;;World Rally Championship;Third person;80;8,3
9945;world-series-baseball;Feb 01, 1993 - Sega Game Gear;;;;Sport;;;;;World Series Baseball;;85;7,3
9946;world-series-baseball-2k1;Aug 17, 2000 - Dreamcast;;;;Sport;;;;;Major League Baseball 2K;;48;7,2
9947;world-series-baseball-2k3;"Mar 10, 2003 - PlayStation 2; Mar 10, 2003 - Xbox";Sega;Visual Concepts;;Sport;Single player, Split screen;;;;Major League Baseball 2K;Third person;89;7,9
9948;world-series-of-poker;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;52;tbd
9949;world-series-of-poker-2008-battle-for-the-bracelets;"Sep 25, 2007 - PlayStation 2; Sep 25, 2007 - PlayStation 3; Sep 25, 2007 - PlayStation Portable; Sep 25, 2007 - PC (Microsoft Windows); Sep 25, 2007 - Xbox 360; Sep 25, 2007 - Nintendo DS";Activision;Left Field Productions;;Simulator, Strategy;Multiplayer, Single player, Split screen;;;;World Series of Poker;;74;6,7
9950;world-series-of-poker-tournament-of-champions;"Aug 31, 2006 - PlayStation 2; Aug 31, 2006 - PC (Microsoft Windows); Sep 19, 2006 - Xbox 360; Sep 21, 2006 - PlayStation Portable; Dec 05, 2006 - Wii";Activision;Left Field Productions;;Sport, Strategy;Multiplayer, Single player, Split screen;;;;World Series of Poker;;69;7,3
9951;worldshift;May 01, 2008 - PC (Microsoft Windows);Black Sea Studios, Playlogic Entertainment, FX Interactive, Black inc, Akella;Black Sea Studios;;Real Time Strategy (RTS), Strategy;Co-operative, Multiplayer, Single player;Science fiction;;;;Bird view / Isometric;63;7,3
9952;world-soccer-winning-eleven-6-international;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;93;8,3
9953;world-soccer-winning-eleven-7-international;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;93;8,3
9954;world-soccer-winning-eleven-8-international;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;91;8,3
9955;world-soccer-winning-eleven-9;;;;;;;;;;;;89;8,2
9956;worlds-of-magic;Mar 19, 2015 - PC (Microsoft Windows);Wastelands Interactive;Wastelands Interactive;;Role-playing (RPG), Simulator, Strategy, Turn-based strategy (TBS);Co-operative, Multiplayer, Single player;4X (explore, expand, exploit, and exterminate);;;World of Subways;Bird view / Isometric;52;5,5
9957;world-to-the-west;"May 05, 2017 - Mac; May 05, 2017 - PlayStation 4; May 05, 2017 - Xbox One; May 05, 2017 - Linux; May 05, 2017 - PC (Microsoft Windows); Jun 30, 2017 - Wii U; Jan 18, 2018 - Nintendo Switch";Rain Games, SOEDESCO Publishing;Rain Games;;Adventure, Indie, Puzzle, Role-playing (RPG);Single player;Action;;Unity;Teslagrad;Bird view / Isometric;79;tbd
9958;world-tour-soccer;Mar 14, 2005 - PlayStation Portable;Sony Computer Entertainment of America;SCE London Studio;;Sport;Multiplayer, Single player;;;;;Bird view / Isometric;70;6,5
9959;world-tour-soccer-06;;;;;Sport;;;;;;;72;tbd
9960;world-tour-soccer-2002;Sep 28, 2001 - PlayStation 2;;989 Studios;;Sport;Single player;;;;World Tour Soccer;Bird view / Isometric;77;7,4
9961;world-tour-soccer-2003;Feb 10, 2003 - PlayStation 2;;SIE London Studios;;Sport;Multiplayer, Single player;Action;;;World Tour Soccer;Side view;78;8
9962;world-tour-soccer-2005;;;;;Sport;;;;;World Tour Soccer;;68;7,9
9963;world-tour-soccer-2006;;;;;Sport;;;;;This Is Football;;56;6
9964;world-war-ii-combat-iwo-jima;"Jul 18, 2006 - Xbox; Jul 18, 2006 - PC (Microsoft Windows)";Groove Games;Direct Action Games;;Shooter;Multiplayer, Single player, Split screen;Action, Historical;;;;First person;26;2,8
9965;world-war-ii-frontline-command;Jul 27, 2003 - PC (Microsoft Windows);;The Bitmap Brothers;;Strategy;;Warfare;;;;;70;6,8
9966;world-war-iii-black-gold;"Oct 16, 2001 - Mac; Oct 16, 2001 - PC (Microsoft Windows)";TopWare Interactive, JoWooD Productions Software;Reality Pump;;Real Time Strategy (RTS), Strategy;Co-operative, Multiplayer, Single player;Science fiction, Warfare;;;;Bird view / Isometric;71;5,9
9967;world-war-ii-online-blitzkrieg;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;57;7,1
9968;world-war-ii-panzer-claws;"Nov 02, 2002 - PC (Microsoft Windows); Aug 05, 2013 - Mac";;;;Simulator, Strategy;Multiplayer, Single player;Historical, Warfare;;;World War II: Panzer Claws;;61;7,4
9969;world-war-z;"TBD - Nintendo Switch; Apr 16, 2019 - PlayStation 4; Apr 16, 2019 - Xbox One; Apr 16, 2019 - PC (Microsoft Windows)";Focus Home Interactive, Paramount Pictures;Saber Interactive;;Shooter;Co-operative;Action, Horror;PC (Microsoft Windows): Offline Co-op max players: , Online Co-op max players: 4, Online max players: 4, Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;Swarm Engine;;Third person;73;5,6
9970;worldwide-soccer-manager-2005;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;89;8,3
9971;worldwide-soccer-manager-2008;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;86;7,5
9972;worldwide-soccer-manager-2009;;;;;;;;;;;;83;7,6
9973;worms;"Dec 31, 1995 - PlayStation; Dec 31, 1995 - PC DOS; Dec 31, 1995 - Mac; Dec 31, 1995 - Amiga; Dec 31, 1995 - Amiga CD32; Sep 29, 1996 - Super Nintendo Entertainment System (SNES); Dec 31, 1996 - Sega Saturn; May 15, 1998 - Atari Jaguar; Oct 19, 2011 - PC (Microsoft Windows)";Team17, Ocean Software, Telegames;Team17;;Strategy;Multiplayer, Single player;Action;;;Worms;Side view, Third person;76;7,6
9974;worms-2-armageddon;"Jul 01, 2009 - Xbox Live Arcade; Sep 08, 2010 - PlayStation 3; Oct 27, 2010 - iOS; Apr 09, 2013 - Android";Team17;Team17;;Strategy;Multiplayer, Single player, Split screen;Action, Comedy;;;Worms;Side view;84;7,9
9975;worms-3d;"Oct 31, 2003 - PlayStation 2; Oct 31, 2003 - Xbox; Oct 31, 2003 - Nintendo GameCube; Oct 31, 2003 - PC (Microsoft Windows); May 21, 2004 - Mac";Sega, Feral Interactive;Team17, Zonic Limited;;Strategy;Co-operative, Multiplayer, Single player;Action, Comedy;;;Worms;Side view;74;7,1
9976;worms-4-mayhem;"Jul 29, 2005 - PlayStation 2; Jul 29, 2005 - Xbox; Aug 05, 2005 - PC (Microsoft Windows)";Codemasters, Majesco Entertainment;Team17;;Strategy;Single player, Split screen;Action, Comedy;;;Worms;Third person;71;7,8
9977;worms-a-space-oddity;Mar 17, 2008 - Wii;THQ;Team17;;Puzzle, Strategy;Single player, Split screen;Science fiction;;;Worms;Side view;64;4,3
9978;worms-battlegrounds;"May 30, 2014 - PlayStation Network; May 30, 2014 - PlayStation 4; May 30, 2014 - Xbox One";Team17;Team17;;Platform, Strategy, Turn-based strategy (TBS);Co-operative, Multiplayer, Single player;Action, Comedy, Warfare;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 4, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Worms;Side view;70;6,2
9979;worms-battle-islands;"Nov 22, 2010 - PlayStation Portable; Nov 23, 2010 - Wii";Sony Computer Entertainment, Inc. (SCEI), THQ;Team17;;Strategy, Turn-based strategy (TBS);Single player;Comedy;;;Worms;Side view;72;7,8
9980;worms-blast;"Mar 22, 2002 - PC (Microsoft Windows); Mar 28, 2002 - PlayStation 2; Sep 13, 2002 - Nintendo GameCube; Dec 06, 2002 - Game Boy Advance; Dec 31, 2004 - Mac";Ubisoft Entertainment, Feral Interactive;Team17;;Arcade, Puzzle, Strategy;Single player, Split screen;Action, Comedy;;;Worms;;73;6,9
9981;worms-clan-wars;Aug 15, 2013 - PC (Microsoft Windows);Team17;Team17;;Platform, Strategy, Turn-based strategy (TBS);Multiplayer, Single player;Comedy;All platforms: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Worms;Side view;73;6,9
9982;worms-forts-under-siege;"Nov 19, 2004 - PlayStation 2; Nov 19, 2004 - Xbox; Nov 19, 2004 - PC (Microsoft Windows)";Sega;Team17;;Strategy;Single player, Split screen;Comedy, Historical;;;Worms;Bird view / Isometric, First person, Third person;67;8,3
9983;worms-open-warfare;"Mar 17, 2006 - Nintendo DS; Mar 22, 2006 - PlayStation Portable";THQ;Team17;;Strategy;Single player;Action;;;Worms;Side view;70;6,8
9984;worms-open-warfare-2;"Aug 30, 2007 - PlayStation Portable; Aug 31, 2007 - Nintendo DS";THQ;Team17, Two Tribes B.V.;;Strategy;Multiplayer, Single player;Action, Sandbox, Warfare;;;Worms;Side view;81;8,1
9985;worms-reloaded;"Aug 26, 2010 - PC (Microsoft Windows); May 17, 2011 - Mac; Oct 15, 2013 - Linux";Team17;Team17;;Platform, Strategy;Multiplayer, Single player;Action, Comedy;;;Worms;Side view;79;6,9
9986;worms-revolution;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;73;6,2
9987;worms-revolution-extreme;Oct 09, 2013 - PlayStation Vita;Team17;;;;;;;;;;67;6,6
9988;worms-ultimate-mayhem;"Sep 28, 2011 - Xbox Live Arcade; Sep 28, 2011 - PC (Microsoft Windows); Sep 28, 2011 - Xbox 360; Feb 14, 2012 - PlayStation Network; Feb 14, 2012 - PlayStation 3";Team17;Team17;;Strategy;Co-operative, Multiplayer, Single player;Action, Comedy;;;Worms;;59;7,8
9989;worms-world-party;"Apr 06, 2001 - PC (Microsoft Windows); Apr 27, 2001 - Dreamcast; Dec 14, 2001 - PlayStation; Oct 04, 2002 - Game Boy Advance; Apr 15, 2005 - N-Gage";Titus Software, Virgin Interactive Entertainment (Europe) Ltd., Nokia, Ubisoft Entertainment;Team17, The Code Monkeys, Fluid Studios, Paragon 5;;Strategy;Multiplayer, Single player, Split screen;Action, Comedy;;;Worms;Side view, Third person;79;8,1
9990;wrath-unleashed;"Feb 10, 2004 - PlayStation 2; Feb 10, 2004 - Xbox";LucasArts;The Collective;;Adventure, Fighting, Role-playing (RPG), Strategy;Single player, Split screen;Action;;;;Third person;69;7
9991;wrc-2-fia-world-rally-championship-2011;Nov 14, 2011 - PC (Microsoft Windows);;;;Racing, Sport;;;;;;;65;6,3
9992;wrc-3;Nov 21, 2003 - PlayStation 2;Sony Computer Entertainment, Inc. (SCEI);Evolution Studios;;Racing, Sport;Multiplayer, Single player;;;;World Rally Championship;First person, Third person;62;7,7
9993;wrc-3-fia-world-rally-championship;Oct 12, 2012 - PlayStation 3;Black Bean Games;;;Racing;;;;;;;63;6,1
9994;wrc-4-fia-world-rally-championship;"Oct 25, 2013 - PlayStation 3; Oct 25, 2013 - PlayStation Vita; Oct 25, 2013 - Xbox 360";Plug In Digital, Square Enix, Bigben Interactive;Milestone S.r.l.;;Racing, Simulator;Multiplayer, Single player;;;;World Rally Championship;First person, Third person;64;6,5
9995;wrc-5;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;65;6
9996;wrc-6-world-rally-championship;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;68;5,2
9997;wrc-7;"Sep 15, 2017 - PC (Microsoft Windows); Sep 26, 2017 - Xbox One; Sep 29, 2017 - PlayStation 4";Bigben Interactive;Kylotonn Games;;Racing, Sport;Multiplayer, Single player;;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 8, Offline max players: 2, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;World Rally Championship;First person, Third person;70;7,1
9998;wrc-8-fia-world-rally-championship;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;79;5,7
9999;wrc-fia-world-rally-championship;"Oct 07, 2010 - PlayStation 3; Oct 07, 2010 - PC (Microsoft Windows); Oct 07, 2010 - Xbox 360; Dec 04, 2014 - Nintendo 3DS";Black Bean Games;Milestone S.r.l.;;Racing;Multiplayer, Single player, Split screen;;;;World Rally Championship;;68;4,5
10000;wrc-powerslide;Mar 13, 2013 - PlayStation Network;Milestone S.r.l.;;;Racing, Sport;;;;;World Rally Championship;;58;5,8
10001;wreckateer;Jul 25, 2012 - Xbox 360;Microsoft;Iron Galaxy Studios;;Puzzle;Multiplayer;Action, Historical;;Unreal Engine 3;;Bird view / Isometric;67;5,5
10002;wrecked-revenge-revisited;"Mar 28, 2012 - Xbox Live Arcade; Mar 28, 2012 - PlayStation Network; Mar 28, 2012 - PlayStation 3";505 Games, 505 Games;Supersonic Software, Supersonic Software;;Racing, Shooter;Co-operative, Multiplayer, Single player, Split screen;Action;;;;Bird view / Isometric;64;tbd
10003;wreckfest;"Jun 14, 2018 - PC (Microsoft Windows); Aug 27, 2019 - PlayStation 4; Aug 27, 2019 - Xbox One";THQ Nordic;Bugbear Entertainment;;Indie, Racing, Simulator, Sport;Multiplayer, Single player;Action;;ROMU;;Bird view / Isometric, First person, Side view, Third person;83;6,4
10004;wreckless-the-yakuza-missions;"Feb 04, 2002 - Xbox; Nov 13, 2002 - PlayStation 2; Nov 13, 2002 - Nintendo GameCube";Activision;Bunkasha;;Racing;Single player;Action;;;;First person, Third person;74;5,4
10005;wta-tour-tennis;"Sep 27, 2001 - PlayStation 2; Sep 27, 2001 - Game Boy Advance; Sep 27, 2001 - Xbox; Sep 27, 2001 - Nintendo GameCube";Konami;Konami, NOW Production;;Sport;Single player, Split screen;;;;WTA Tour;Third person;66;tbd
10006;wtf-work-time-fun;Nov 17, 2006 - PlayStation Portable;;;;Adventure, Arcade, Simulator, Sport, Strategy;;Action, Comedy, Horror;;;;;63;7,8
10007;wulverblade;"Oct 12, 2017 - Nintendo Switch; Jan 30, 2018 - PlayStation 4; Jan 30, 2018 - PC (Microsoft Windows); Jan 31, 2018 - Xbox One";Darkwind Media Ltd.;Fully Illustrated;;Adventure, Arcade, Hack and slash/Beat 'em up, Indie;Co-operative, Multiplayer, Single player;Action, Fantasy, Historical;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 2, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Side view;77;7,4
10008;wuppo;"Sep 29, 2016 - PC (Microsoft Windows); Nov 10, 2017 - PlayStation 4; Nov 10, 2017 - Xbox One";SOEDESCO Publishing;Knuist & Perzik;;Adventure, Indie, Platform, Role-playing (RPG);Co-operative, Multiplayer, Single player;Action;;;;Side view;78;8,2
10009;wwe-2k14;"Oct 29, 2013 - PlayStation Network; Oct 29, 2013 - PlayStation 3; Oct 29, 2013 - Xbox 360";2K Sports;YUKE'S Co., Ltd., Visual Concepts;;Fighting, Sport;Multiplayer, Single player, Split screen;;;;WWE SmackDown vs. Raw;Third person;75;7,6
10010;wwe-2k15;"Oct 28, 2014 - PlayStation 3; Oct 28, 2014 - Xbox 360; Nov 18, 2014 - PlayStation 4; Nov 18, 2014 - Xbox One; Apr 28, 2015 - PC (Microsoft Windows)";2K Sports;Visual Concepts, YUKE'S Co., Ltd.;QLOC;Simulator, Sport;Multiplayer, Single player;Non-fiction;All platforms: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;WWE SmackDown vs. Raw;Side view;62;5,1
